NAME,Category,Sub Category,Main Ingredient_1,Ingredient_2
မယ်ဇလီရွက်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,မယ်ဇလီရွက်,
ငါးပိလိမ္မာ,အရံဟင်း,အငန်ချက်ဟင်းများ,ငါး,
မျှစ်နှင့်စားတော်ပဲကြော်,အရံဟင်း,အသီးအရွက်,မျှစ်,ပဲ
ငါးရခိုင်ချက်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
အာလူးထောင်း,အရံဟင်း,အသီးအရွက်,အာလူး,
ပဲနီလေး၊ပဲဝါလေး ပဲကြာဇံဟင်းချို,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ပဲနီလေး,
အာလူးဆီပြန်,အရံဟင်း,အသီးအရွက်,အာလူး,
သတ်သတ်လွတ်ပဲပြားကြော်နှပ်,အရံဟင်း,အသီးအရွက်,ပဲပြား,
ခဝဲသီးအချိုချက် (သတ်သတ်လွတ်),အရံဟင်း,အသီးအရွက်,ခဝဲသီး,
သရက်ချဉ်သုပ်,အရံဟင်း,အသီးအရွက်,သရက်ချဉ်,
ငှက်ပျောဖူးသုပ်,အရံဟင်း,အသီးအရွက်,ငှက်ပျောဖူး,
ပိန္နဲသီးသုပ်,အရံဟင်း,အသီးအရွက်,ပိန္နဲသီး,
စားတော်ပဲသုပ်,အရံဟင်း,အသီးအရွက်,ပဲ,
ပဲက္ကတီပါ,အရံဟင်း,အသီးအရွက်,ပဲက္ကတီပါ,
ပဲထောပတ်သုပ်,အရံဟင်း,အသီးအရွက်,ပဲထောပတ်,
အာလူးမျှင်သုပ်,အရံဟင်း,အသီးအရွက်,အာလူး,
ပဲပြားချဉ်စပ်ချက်/တို့ဟူးချဉ်စပ်ချက်,အရံဟင်း,အသီးအရွက်,ပဲပြား,
ရွှေဖယုံသီးနှပ်,အရံဟင်း,အသီးအရွက်,ရွှေဖရုံသီး,
မှိုဟင်း,အရံဟင်း,အသီးအရွက်,မှို,
ပဲကြီးဟင်းချို,အရံဟင်း,အသီးအရွက်,ပဲကြီး,
ရုံးပတီသီးအချဉ်ဆီပြန်,အရံဟင်း,အသီးအရွက်,ရုံးပတီသီး,
ဘူးသီးအချိုချက်,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ဘူးသီး,
မိုးကျလက်ဖက်(သို့)ဒန့်ကျွဲရွက်သုပ်,အရံဟင်း,အသီးအရွက်,ဒန့်ကျွဲရွက်,
ဘူးရွက်ဟင်းချို,အရံဟင်း,အသီးအရွက်,ဘူးညွှန့်,
ညောင်ချဉ်ဖူးသုပ်,အရံဟင်း,အသီးအရွက်,ညောင်ချဉ်ဖူး,
ခံတက်ချဉ်သုပ်,အရံဟင်း,အသီးအရွက်,ခံတက်ချဉ်,
ပဲပင်ပေါက်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ပဲပင်ပေါက်,
ပိတ်စွယ်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ပိတ်စွယ်,
ဂုံးမင်းဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ဂုံးမင်း,
ဂေါ်ဖီထုပ်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ဂေါ်ဖီထုပ်,
အာလူးကတ်သလိတ်ကြော် (အသားသွတ်),,,အာလူး,
